"","id","author_id","created_at","text","lang","source","retweet_count","reply_count","like_count","quote_count","hashtags","mentions","urls","possibly_sensitive","conversation_id","reply_settings","context_entities","referenced_tweets","text_clean","tmpid","Effectiveness_of_GLP1_Agonists","Personal_Experiences_and_Side_Effects","Perceptions_of_Weight_Loss","Food_Industry_Perceptions","Addiction_and_Cravings","Weight_Loss_Journey","Marketing_and_Product_Ideas","Mood_and_Energy","Scientific_Information","Societal_Issues","author_username","author_name","author_profile_image","author_verified","author_followers","count","day"
"1",1943747117333336270,356495526,2025-07-11 19:00:00,"Zepbound (tirzepatide) and Wegovy (semaglutide) are injectable medications for weight loss. Both work on your appetite, hunger, and food cravings, but they achieve this effect in different ways. Learn more: https://t.co/j9Qqw2pCnA","en",NA,0,0,1,0,"[]","[]","['https://goodrx.co/4kC4Akp']",FALSE,1943747117333336270,"everyone","[]","[]","Zepbound (tirzepatide) and Wegovy (semaglutide) are injectable medications for weight loss. Both work on your appetite hunger and food cravings but they achieve this effect in different ways. Learn more",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"GoodRx","GoodRx","https://pbs.twimg.com/profile_images/1455245365569998849/6I9ECChg_normal.jpg",FALSE,13377,1,11
"2",1943743424563167260,1105515026503421952,2025-07-11 18:45:20,"Goes to LA and gets on ozempic. It’s so over for the association 
Skinny Luka on the lakers wins 3 chips before he retires @TheyAlreadyKnew https://t.co/gCFlfvm4RV","en",NA,0,0,0,0,"[]","['TheyAlreadyKnew']","['https://twitter.com/ludwigahgren/status/1943697791676739808']",FALSE,1943743424563167260,"everyone","['NBA Basketball', 'Los Angeles Lakers', 'NBA', 'Sports & Fitness Business', 'Los Angeles Lakers', 'NBA', 'Basketball', 'Sports', 'Basketball', 'Basketball', 'Sports']","[<ReferencedTweet id=1943697791676739808 type=quoted>]","Goes to LA and gets on ozempic. Its so over for the association Skinny Luka on the lakers wins 3 chips before he retires @TheyAlreadyKnew",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"vikings129","vikings129","https://pbs.twimg.com/profile_images/1450308722723545089/pCYo85Z2_normal.jpg",FALSE,178,1,11
"3",1943725026160660892,1941462918542786560,2025-07-11 17:32:13,"Cravings down. Confidence up.
Oh My Meds offers GLP-1 treatments like Tirzepatide and Semaglutide, prescribed online.
Feel better. Eat smarter.
💻 https://t.co/mgcz7kDQ4m
#ohmymedsrx #glp #weightloss #semaglutide #tirzepatide https://t.co/YNKryZMCc9","en",NA,0,0,0,0,"['ohmymedsrx', 'glp', 'weightloss', 'semaglutide', 'tirzepatide']","[]","['http://join.ohmymeds.com', 'https://x.com/ohmymedsrx/status/1943725026160660892/video/1']",FALSE,1943725026160660892,"everyone","['Sports & Fitness Business', 'Fitness']","[]","Cravings down. Confidence up. Oh My Meds offers GLP-1 treatments like Tirzepatide and Semaglutide prescribed online. Feel better. Eat smarter.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ohmymedsrx","OhMyMeds","https://pbs.twimg.com/profile_images/1941619577349152769/Qj_syj9u_normal.jpg",FALSE,0,1,11
"4",1943682944037490933,1183757070757220352,2025-07-11 14:45:00,"Prader-Willi syndrome—a rare genetic disorder marked by insatiable hunger—shows that obesity isn’t one disease, but a spectrum. This breakthrough is a reminder that personalized treatment matters. Learn more @ConscienHealth: https://t.co/amgwwPnCP8","en",NA,3,0,4,0,"[]","['ConscienHealth']","['https://conscienhealth.org/2025/06/prader-willi-reminds-us-glp-1-is-not-the-whole-story-of-obesity/']",FALSE,1943682944037490933,"everyone","[]","[]","Prader-Willi syndrome—a rare genetic disorder marked by insatiable hunger—shows that obesity isnt one disease but a spectrum. This breakthrough is a reminder that personalized treatment matters. Learn more @ConscienHealth",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"ObesityAdvocacy","Obesity Care Advocacy Network","https://pbs.twimg.com/profile_images/1899837093158821889/azfmvsTH_normal.jpg",FALSE,952,1,11
"5",1943682457993200126,1573280302327373827,2025-07-11 14:43:04,"Ngl I’ve been binging so much bcz my grandmas trying to get me into modeling, and i need to lose at least half of what i am now . Which idefk bcz I don’t have scale til tmr 😒 . Besides All that bullshit. Idfk she’s literally trying to get me on ozempic . https://t.co/8Puy52D5SJ","en",NA,0,0,0,0,"[]","[]","['https://x.com/Mut4lat3dmUs3/status/1943682457993200126/photo/1']",FALSE,1943682457993200126,"everyone","[]","[]","Ngl Ive been binging so much bcz my grandmas trying to get me into modeling and i need to lose at least half of what i am now . Which idefk bcz I dont have scale til tmr . Besides All that bullshit. Idfk shes literally trying to get me on ozempic .",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mut4lat3dmUs3","𝐴𝑏𝑏𝑖𝑒 ₍^. .^₎⟆ ᔆʰᵉᵈᵗʷᵗ","https://pbs.twimg.com/profile_images/1940898400691425280/MMH3byo7_normal.jpg",FALSE,224,1,11
"6",1943666723271344242,1551960015862382593,2025-07-11 13:40:33,"Can really understand how Ozempic et al work by turning of your """"food thoughts"""". I only get """"food thoughts"""" when I'm not distracted. Like waiting for a van, with the snack machine whispering to me. 

Snacksssss. Crispsssss. Chocolotolate...","en",NA,0,0,0,0,"[]","[]","[]",FALSE,1943666723271344242,"everyone","['Automotive, Aircraft & Boat Business']","[]","Can really understand how Ozempic et al work by turning of your food thoughts. I only get food thoughts when Im not distracted. Like waiting for a van with the snack machine whispering to me. Snacksssss. Crispsssss. Chocolotolate.",6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"4thWaveStevie","Steve Chambers","https://pbs.twimg.com/profile_images/1933824062783885312/fYGMipzn_normal.jpg",FALSE,1544,1,11
"7",1943642119513534583,18820955,2025-07-11 12:02:47,"Day 54 on the weight loss injection Mounjaro:  

Feeling hungry. Pretty sure that’s not meant to happen on this drug! Would up the dose to 5mg but it costs £30 extra and apparently the side effects can be worse.

Total loss: 9.2kg

Start weight: 84.8kg  

Today’s weight: 75.6kg https://t.co/0wMMVMSATz","en",NA,0,1,12,0,"[]","[]","['https://x.com/ArianeSherine/status/1943642119513534583/photo/1']",FALSE,1943642119513534583,"everyone","[]","[]","Day 54 on the weight loss injection Mounjaro  Feeling hungry. Pretty sure thats not meant to happen on this drug! Would up the dose to 5mg but it costs £30 extra and apparently the side effects can be worse. Total loss  9.2kg Start weight  84.8kg Todays weight  75.6kg",7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ArianeSherine","Ariane Sherine","https://pbs.twimg.com/profile_images/1865308041698070528/eQbqbXmH_normal.jpg",FALSE,9849,1,11
"8",1943637397813526553,702092653,2025-07-11 11:44:01,"Day 2 on mounjaro feeling good just very tired. Not feeling particularly hungry and food noise is low. No other side effects at the moment. #weightlossjourney #weightlossinjection","en",NA,0,0,1,0,"['weightlossjourney', 'weightlossinjection']","[]","[]",FALSE,1943637397813526553,"everyone","[]","[]","Day 2 on mounjaro feeling good just very tired. Not feeling particularly hungry and food noise is low. No other side effects at the moment.",8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"newt_kiters","Newt","https://pbs.twimg.com/profile_images/1916530560811311104/Tc3C1UZj_normal.jpg",FALSE,975,1,11
"9",1943633649842204912,2885363901,2025-07-11 11:29:07,"GLP-1 and the rise of mood foods: A new appetite for functional indulgence https://t.co/g5ipcdFHnX","en",NA,0,0,0,0,"[]","[]","['https://www.bakeryandsnacks.com/Article/2025/07/10/how-glp-1-drugs-are-reshaping-snacks-indulgence-and-mood-foods/']",FALSE,1943633649842204912,"everyone","[]","[]","GLP-1 and the rise of mood foods  A new appetite for functional indulgence",9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"HyslopGill","Gill Hyslop","https://pbs.twimg.com/profile_images/796032977486680070/7gBlfuw4_normal.jpg",FALSE,191,1,11
"10",1943630213348290837,1706691658379558912,2025-07-11 11:15:28,"The new snack wrap chicken taste like if a fat bitch took ozempic","en",NA,0,0,0,0,"[]","[]","[]",FALSE,1943630213348290837,"everyone","[]","[]","The new snack wrap chicken taste like if a fat bitch took ozempic",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sexborger","Lgbtsexburger","https://pbs.twimg.com/profile_images/1935184239961464832/UKTJvqId_normal.jpg",FALSE,215,1,11
